"ntaxa","bl","method","rep","estbias1","r1","estbias2","r2","type"
128,0.0025,"FEL2",8,-0.459286,0.0312759,-0.459286,0.0312759,"nobias"
128,0.0025,"FEL2",9,-0.390509,-0.178686,-0.390509,-0.178686,"nobias"
128,0.0025,"FEL2",10,-0.337376,0.166372,-0.337376,0.166372,"nobias"
128,0.0025,"FEL2",11,-0.472573,0.238257,-0.472573,0.238257,"nobias"
128,0.0025,"FEL2",12,-0.340299,-0.158577,-0.340299,-0.158577,"nobias"
128,0.0025,"FEL2",13,-0.251656,0.210433,-0.251656,0.210433,"nobias"
128,0.0025,"FEL2",14,-0.455971,-0.127847,-0.455971,-0.127847,"nobias"
128,0.0025,"FEL2",15,-0.50385,0.322224,-0.50385,0.322224,"nobias"
128,0.0025,"FEL2",17,-0.437495,0.399085,-0.437495,0.399085,"nobias"
128,0.0025,"FEL2",18,-0.489184,0.0635741,-0.489184,0.0635741,"nobias"
128,0.0025,"FEL2",19,-0.33549,0.0200229,-0.33549,0.0200229,"nobias"
128,0.0025,"FEL2",20,-0.456632,-0.224672,-0.456632,-0.224672,"nobias"
128,0.0025,"FEL2",21,-0.310842,0.271645,-0.310842,0.271645,"nobias"
128,0.0025,"FEL2",22,-0.277233,0.543531,-0.277233,0.543531,"nobias"
128,0.0025,"FEL2",23,-0.315091,0.110687,-0.315091,0.110687,"nobias"
128,0.0025,"FEL2",24,-0.341826,0.510706,-0.341826,0.510706,"nobias"
128,0.0025,"FEL2",25,-0.380855,0.265773,-0.380855,0.265773,"nobias"
128,0.0025,"FEL2",26,-0.383223,0.309587,-0.383223,0.309587,"nobias"
128,0.0025,"FEL2",27,-0.400084,-0.160813,-0.400084,-0.160813,"nobias"
128,0.0025,"FEL2",28,-0.359905,0.0248876,-0.359905,0.0248876,"nobias"
128,0.0025,"FEL2",29,-0.459771,0.206469,-0.459771,0.206469,"nobias"
128,0.0025,"FEL2",30,-0.389061,0.0433408,-0.389061,0.0433408,"nobias"
128,0.0025,"FEL2",31,-0.265885,0.3621,-0.265885,0.3621,"nobias"
128,0.0025,"FEL2",33,-0.410311,-0.154585,-0.410311,-0.154585,"nobias"
128,0.0025,"FEL2",34,-0.339303,0.232761,-0.339303,0.232761,"nobias"
128,0.0025,"FEL2",35,-0.449691,0.150123,-0.449691,0.150123,"nobias"
128,0.0025,"FEL2",36,-0.396228,0.310228,-0.396228,0.310228,"nobias"
128,0.0025,"FEL2",37,-0.34967,0.163847,-0.34967,0.163847,"nobias"
128,0.0025,"FEL2",38,-0.44964,0.063774,-0.44964,0.063774,"nobias"
128,0.0025,"FEL2",39,-0.315901,0.14297,-0.315901,0.14297,"nobias"
128,0.0025,"FEL2",40,-0.234613,0.491225,-0.234613,0.491225,"nobias"
128,0.0025,"FEL2",41,-0.343211,0.497291,-0.343211,0.497291,"nobias"
128,0.0025,"FEL2",42,-0.460651,0.0134984,-0.460651,0.0134984,"nobias"
128,0.0025,"FEL2",43,-0.365997,-0.300138,-0.365997,-0.300138,"nobias"
128,0.0025,"FEL2",44,-0.392739,0.0571542,-0.392739,0.0571542,"nobias"
128,0.0025,"FEL2",45,-0.392273,-0.0452627,-0.392273,-0.0452627,"nobias"
128,0.0025,"FEL2",46,-0.461808,0.167619,-0.461808,0.167619,"nobias"
128,0.0025,"FEL2",47,-0.233444,0.48522,-0.233444,0.48522,"nobias"
128,0.0025,"FEL2",48,-0.36289,0.312256,-0.36289,0.312256,"nobias"
128,0.0025,"FEL2",49,-0.368071,0.120655,-0.368071,0.120655,"nobias"
128,0.0025,"FEL2",50,-0.462454,0.564865,-0.462454,0.564865,"nobias"
128,0.0025,"FEL2_1",1,0.0439255,0.277203,0.0439255,0.277203,"nobias"
128,0.0025,"FEL2_1",2,-0.0191709,0.217161,-0.0191709,0.217161,"nobias"
128,0.0025,"FEL2_1",3,0.169889,0.211704,0.169889,0.211704,"nobias"
128,0.0025,"FEL2_1",4,0.145318,0.123549,0.145318,0.123549,"nobias"
128,0.0025,"FEL2_1",5,-0.11712,0.201568,-0.11712,0.201568,"nobias"
128,0.0025,"FEL2_1",6,-0.148266,0.322998,-0.148266,0.322998,"nobias"
128,0.0025,"FEL2_1",7,0.245339,0.35041,0.245339,0.35041,"nobias"
128,0.0025,"FEL2_1",8,0.0401255,0.210204,0.0401255,0.210204,"nobias"
128,0.0025,"FEL2_1",9,-0.208412,0.180278,-0.208412,0.180278,"nobias"
128,0.0025,"FEL2_1",10,-0.0211927,0.298875,-0.0211927,0.298875,"nobias"
128,0.0025,"FEL2_1",11,0.471598,0.284861,0.471598,0.284861,"nobias"
128,0.0025,"FEL2_1",12,0.0872924,0.1756,0.0872924,0.1756,"nobias"
128,0.0025,"FEL2_1",13,0.173922,0.247109,0.173922,0.247109,"nobias"
128,0.0025,"FEL2_1",14,-0.249577,0.111827,-0.249577,0.111827,"nobias"
128,0.0025,"FEL2_1",15,-0.468377,0.25374,-0.468377,0.25374,"nobias"
128,0.0025,"FEL2_1",16,0.0965388,0.275896,0.0965388,0.275896,"nobias"
128,0.0025,"FEL2_1",17,-0.147576,0.307668,-0.147576,0.307668,"nobias"
128,0.0025,"FEL2_1",18,-0.470502,0.270751,-0.470502,0.270751,"nobias"
128,0.0025,"FEL2_1",19,0.147467,0.248108,0.147467,0.248108,"nobias"
128,0.0025,"FEL2_1",20,-0.0442344,0.123644,-0.0442344,0.123644,"nobias"
128,0.0025,"FEL2_1",21,-0.470333,0.297953,-0.470333,0.297953,"nobias"
128,0.0025,"FEL2_1",22,0.289392,0.222031,0.289392,0.222031,"nobias"
128,0.0025,"FEL2_1",23,-0.0172741,0.117407,-0.0172741,0.117407,"nobias"
128,0.0025,"FEL2_1",24,-0.470107,0.213105,-0.470107,0.213105,"nobias"
128,0.0025,"FEL2_1",25,0.0995397,0.275504,0.0995397,0.275504,"nobias"
128,0.0025,"FEL2_1",26,0.00405099,0.220893,0.00405099,0.220893,"nobias"
128,0.0025,"FEL2_1",27,0.107706,0.171124,0.107706,0.171124,"nobias"
128,0.0025,"FEL2_1",28,0.307921,0.307955,0.307921,0.307955,"nobias"
128,0.0025,"FEL2_1",29,0.0048502,0.253339,0.0048502,0.253339,"nobias"
128,0.0025,"FEL2_1",30,0.198515,0.281089,0.198515,0.281089,"nobias"
128,0.0025,"FEL2_1",31,-0.0389776,0.220914,-0.0389776,0.220914,"nobias"
128,0.0025,"FEL2_1",32,-0.111854,0.159863,-0.111854,0.159863,"nobias"
128,0.0025,"FEL2_1",33,0.00249195,0.250951,0.00249195,0.250951,"nobias"
128,0.0025,"FEL2_1",34,-0.0774099,0.194927,-0.0774099,0.194927,"nobias"
128,0.0025,"FEL2_1",35,-0.473013,0.229239,-0.473013,0.229239,"nobias"
128,0.0025,"FEL2_1",36,-0.201041,0.209386,-0.201041,0.209386,"nobias"
128,0.0025,"FEL2_1",37,0.196868,0.224425,0.196868,0.224425,"nobias"
128,0.0025,"FEL2_1",38,-0.0683107,0.252553,-0.0683107,0.252553,"nobias"
128,0.0025,"FEL2_1",39,-0.467414,0.15565,-0.467414,0.15565,"nobias"
128,0.0025,"FEL2_1",40,-0.0961941,0.33196,-0.0961941,0.33196,"nobias"
128,0.0025,"FEL2_1",41,0.230743,0.193763,0.230743,0.193763,"nobias"
128,0.0025,"FEL2_1",42,-0.0253954,0.202988,-0.0253954,0.202988,"nobias"
128,0.0025,"FEL2_1",43,0.183989,0.2516,0.183989,0.2516,"nobias"
128,0.0025,"FEL2_1",44,-0.0896429,0.0761097,-0.0896429,0.0761097,"nobias"
128,0.0025,"FEL2_1",45,-0.473402,0.160121,-0.473402,0.160121,"nobias"
128,0.0025,"FEL2_1",46,-0.0143153,0.29036,-0.0143153,0.29036,"nobias"
128,0.0025,"FEL2_1",47,0.131579,0.28088,0.131579,0.28088,"nobias"
128,0.0025,"FEL2_1",48,0.0273593,0.452501,0.0273593,0.452501,"nobias"
128,0.0025,"FEL2_1",49,0.0504026,0.173995,0.0504026,0.173995,"nobias"
128,0.0025,"FEL2_1",50,0.712805,0.366855,0.712805,0.366855,"nobias"
128,0.0025,"FUBAR1",1,0.174284,0.234275,0.174284,0.234275,"nobias"
128,0.0025,"FUBAR1",2,0.176942,0.209035,0.176942,0.209035,"nobias"
128,0.0025,"FUBAR1",3,0.245635,0.138516,0.245635,0.138516,"nobias"
128,0.0025,"FUBAR1",4,0.251344,0.0338538,0.251344,0.0338538,"nobias"
128,0.0025,"FUBAR1",5,0.0980079,0.15447,0.0980079,0.15447,"nobias"
128,0.0025,"FUBAR1",6,0.141283,0.274044,0.141283,0.274044,"nobias"
128,0.0025,"FUBAR1",7,0.369372,0.255747,0.369372,0.255747,"nobias"
128,0.0025,"FUBAR1",8,0.237023,0.205157,0.237023,0.205157,"nobias"
128,0.0025,"FUBAR1",9,0.210053,0.168706,0.210053,0.168706,"nobias"
128,0.0025,"FUBAR1",10,0.186265,0.228903,0.186265,0.228903,"nobias"
128,0.0025,"FUBAR1",11,0.539172,0.237878,0.539172,0.237878,"nobias"
128,0.0025,"FUBAR1",12,0.245768,0.122634,0.245768,0.122634,"nobias"
128,0.0025,"FUBAR1",13,0.231609,0.192272,0.231609,0.192272,"nobias"
128,0.0025,"FUBAR1",14,0.0678595,0.125228,0.0678595,0.125228,"nobias"
128,0.0025,"FUBAR1",15,0.333172,0.23921,0.333172,0.23921,"nobias"
128,0.0025,"FUBAR1",16,0.268639,0.163075,0.268639,0.163075,"nobias"
128,0.0025,"FUBAR1",17,0.115441,0.295765,0.115441,0.295765,"nobias"
128,0.0025,"FUBAR1",18,0.198843,0.226589,0.198843,0.226589,"nobias"
128,0.0025,"FUBAR1",19,0.206658,0.119668,0.206658,0.119668,"nobias"
128,0.0025,"FUBAR1",20,0.204884,0.0256474,0.204884,0.0256474,"nobias"
128,0.0025,"FUBAR1",21,0.21734,0.200129,0.21734,0.200129,"nobias"
128,0.0025,"FUBAR1",22,0.344767,0.132008,0.344767,0.132008,"nobias"
128,0.0025,"FUBAR1",23,0.185385,0.136443,0.185385,0.136443,"nobias"
128,0.0025,"FUBAR1",24,0.30321,0.0800769,0.30321,0.0800769,"nobias"
128,0.0025,"FUBAR1",25,0.180162,0.230079,0.180162,0.230079,"nobias"
128,0.0025,"FUBAR1",26,0.244928,0.173763,0.244928,0.173763,"nobias"
128,0.0025,"FUBAR1",27,0.271413,0.153587,0.271413,0.153587,"nobias"
128,0.0025,"FUBAR1",28,0.278502,0.274036,0.278502,0.274036,"nobias"
128,0.0025,"FUBAR1",29,0.251538,0.175688,0.251538,0.175688,"nobias"
128,0.0025,"FUBAR1",30,0.267266,0.256043,0.267266,0.256043,"nobias"
128,0.0025,"FUBAR1",31,0.169299,0.132773,0.169299,0.132773,"nobias"
128,0.0025,"FUBAR1",32,0.135673,0.0985791,0.135673,0.0985791,"nobias"
128,0.0025,"FUBAR1",33,0.219804,0.247694,0.219804,0.247694,"nobias"
128,0.0025,"FUBAR1",34,0.158664,0.170386,0.158664,0.170386,"nobias"
128,0.0025,"FUBAR1",35,0.124661,0.161047,0.124661,0.161047,"nobias"
128,0.0025,"FUBAR1",36,0.138182,0.192573,0.138182,0.192573,"nobias"
128,0.0025,"FUBAR1",37,0.254571,0.170612,0.254571,0.170612,"nobias"
128,0.0025,"FUBAR1",38,0.168549,0.227503,0.168549,0.227503,"nobias"
128,0.0025,"FUBAR1",39,0.404428,0.0571606,0.404428,0.0571606,"nobias"
128,0.0025,"FUBAR1",40,0.147862,0.291791,0.147862,0.291791,"nobias"
128,0.0025,"FUBAR1",41,0.279938,-0.00115809,0.279938,-0.00115809,"nobias"
128,0.0025,"FUBAR1",42,0.193616,0.191511,0.193616,0.191511,"nobias"
128,0.0025,"FUBAR1",43,0.334306,0.229181,0.334306,0.229181,"nobias"
128,0.0025,"FUBAR1",44,0.115999,0.0539676,0.115999,0.0539676,"nobias"
128,0.0025,"FUBAR1",45,0.129422,0.138587,0.129422,0.138587,"nobias"
128,0.0025,"FUBAR1",46,0.229345,0.262193,0.229345,0.262193,"nobias"
128,0.0025,"FUBAR1",47,0.234919,0.183027,0.234919,0.183027,"nobias"
128,0.0025,"FUBAR1",48,0.180369,0.392614,0.180369,0.392614,"nobias"
128,0.0025,"FUBAR1",49,0.230267,0.0361741,0.230267,0.0361741,"nobias"
128,0.0025,"FUBAR1",50,0.455367,0.31417,0.455367,0.31417,"nobias"
128,0.0025,"FUBAR2",1,0.342565,0.139101,0.342565,0.139101,"nobias"
128,0.0025,"FUBAR2",2,0.311904,0.129838,0.311904,0.129838,"nobias"
128,0.0025,"FUBAR2",3,0.296374,0.0708136,0.296374,0.0708136,"nobias"
128,0.0025,"FUBAR2",4,0.281099,0.0227259,0.281099,0.0227259,"nobias"
128,0.0025,"FUBAR2",5,0.19203,0.0235665,0.19203,0.0235665,"nobias"
128,0.0025,"FUBAR2",6,0.248463,0.161278,0.248463,0.161278,"nobias"
128,0.0025,"FUBAR2",7,0.460869,0.243963,0.460869,0.243963,"nobias"
128,0.0025,"FUBAR2",8,0.313139,0.17179,0.313139,0.17179,"nobias"
128,0.0025,"FUBAR2",9,0.255784,0.182419,0.255784,0.182419,"nobias"
128,0.0025,"FUBAR2",10,0.247827,0.120598,0.247827,0.120598,"nobias"
128,0.0025,"FUBAR2",11,0.504357,0.219153,0.504357,0.219153,"nobias"
128,0.0025,"FUBAR2",12,0.421702,0.0959253,0.421702,0.0959253,"nobias"
128,0.0025,"FUBAR2",13,0.361689,0.165878,0.361689,0.165878,"nobias"
128,0.0025,"FUBAR2",14,0.25152,0.0782871,0.25152,0.0782871,"nobias"
128,0.0025,"FUBAR2",15,0.349408,0.141842,0.349408,0.141842,"nobias"
128,0.0025,"FUBAR2",16,0.256159,0.174791,0.256159,0.174791,"nobias"
128,0.0025,"FUBAR2",17,0.225854,0.100783,0.225854,0.100783,"nobias"
128,0.0025,"FUBAR2",18,0.248901,0.124825,0.248901,0.124825,"nobias"
128,0.0025,"FUBAR2",19,0.294871,0.0521021,0.294871,0.0521021,"nobias"
128,0.0025,"FUBAR2",20,0.299828,0.009156,0.299828,0.009156,"nobias"
128,0.0025,"FUBAR2",21,0.334745,0.18593,0.334745,0.18593,"nobias"
128,0.0025,"FUBAR2",22,0.460425,0.154571,0.460425,0.154571,"nobias"
128,0.0025,"FUBAR2",23,0.318341,0.17472,0.318341,0.17472,"nobias"
128,0.0025,"FUBAR2",24,0.123654,-0.00571203,0.123654,-0.00571203,"nobias"
128,0.0025,"FUBAR2",25,0.314825,0.115296,0.314825,0.115296,"nobias"
128,0.0025,"FUBAR2",26,0.338493,0.142007,0.338493,0.142007,"nobias"
128,0.0025,"FUBAR2",27,0.336124,0.11435,0.336124,0.11435,"nobias"
128,0.0025,"FUBAR2",28,0.519514,0.258391,0.519514,0.258391,"nobias"
128,0.0025,"FUBAR2",29,0.315098,0.0818955,0.315098,0.0818955,"nobias"
128,0.0025,"FUBAR2",30,0.481168,0.237277,0.481168,0.237277,"nobias"
128,0.0025,"FUBAR2",31,0.246703,0.141912,0.246703,0.141912,"nobias"
128,0.0025,"FUBAR2",32,0.227527,0.0243688,0.227527,0.0243688,"nobias"
128,0.0025,"FUBAR2",33,0.245008,0.142899,0.245008,0.142899,"nobias"
128,0.0025,"FUBAR2",34,0.248555,0.0119353,0.248555,0.0119353,"nobias"
128,0.0025,"FUBAR2",35,0.212644,0.0480673,0.212644,0.0480673,"nobias"
128,0.0025,"FUBAR2",36,0.145408,0.0789628,0.145408,0.0789628,"nobias"
128,0.0025,"FUBAR2",37,0.398688,0.125446,0.398688,0.125446,"nobias"
128,0.0025,"FUBAR2",38,0.179469,0.126197,0.179469,0.126197,"nobias"
128,0.0025,"FUBAR2",39,0.394509,0.0654461,0.394509,0.0654461,"nobias"
128,0.0025,"FUBAR2",40,0.194896,0.226306,0.194896,0.226306,"nobias"
128,0.0025,"FUBAR2",41,0.476084,-0.000267576,0.476084,-0.000267576,"nobias"
128,0.0025,"FUBAR2",42,0.356908,0.134495,0.356908,0.134495,"nobias"
128,0.0025,"FUBAR2",43,0.537154,0.21514,0.537154,0.21514,"nobias"
128,0.0025,"FUBAR2",44,0.224045,-0.0353421,0.224045,-0.0353421,"nobias"
128,0.0025,"FUBAR2",45,0.148554,0.128849,0.148554,0.128849,"nobias"
128,0.0025,"FUBAR2",46,0.310211,0.189034,0.310211,0.189034,"nobias"
128,0.0025,"FUBAR2",47,0.362583,0.17745,0.362583,0.17745,"nobias"
128,0.0025,"FUBAR2",48,0.266457,0.170082,0.266457,0.170082,"nobias"
128,0.0025,"FUBAR2",49,0.341748,-0.0130238,0.341748,-0.0130238,"nobias"
128,0.0025,"FUBAR2",50,0.703363,0.271514,0.703363,0.271514,"nobias"
128,0.0025,"FUBAR2_1",1,0.0156649,0.230074,0.0156649,0.230074,"nobias"
128,0.0025,"FUBAR2_1",2,0.00081633,0.215088,0.00081633,0.215088,"nobias"
128,0.0025,"FUBAR2_1",3,0.0161299,0.13943,0.0161299,0.13943,"nobias"
128,0.0025,"FUBAR2_1",4,-0.031057,0.0493278,-0.031057,0.0493278,"nobias"
128,0.0025,"FUBAR2_1",5,-0.0254335,0.15181,-0.0254335,0.15181,"nobias"
128,0.0025,"FUBAR2_1",6,-0.039495,0.271643,-0.039495,0.271643,"nobias"
128,0.0025,"FUBAR2_1",7,0.128994,0.280046,0.128994,0.280046,"nobias"
128,0.0025,"FUBAR2_1",8,-0.0264074,0.207334,-0.0264074,0.207334,"nobias"
128,0.0025,"FUBAR2_1",9,-0.0492921,0.171618,-0.0492921,0.171618,"nobias"
128,0.0025,"FUBAR2_1",10,-0.0182307,0.235928,-0.0182307,0.235928,"nobias"
128,0.0025,"FUBAR2_1",11,0.14983,0.26009,0.14983,0.26009,"nobias"
128,0.0025,"FUBAR2_1",12,0.0467304,0.115977,0.0467304,0.115977,"nobias"
128,0.0025,"FUBAR2_1",13,0.0734738,0.185931,0.0734738,0.185931,"nobias"
128,0.0025,"FUBAR2_1",14,-0.0423082,0.124911,-0.0423082,0.124911,"nobias"
128,0.0025,"FUBAR2_1",15,0.015023,0.242385,0.015023,0.242385,"nobias"
128,0.0025,"FUBAR2_1",16,-0.0189009,0.175885,-0.0189009,0.175885,"nobias"
128,0.0025,"FUBAR2_1",17,0.0123465,0.296894,0.0123465,0.296894,"nobias"
128,0.0025,"FUBAR2_1",18,-0.0215045,0.22462,-0.0215045,0.22462,"nobias"
128,0.0025,"FUBAR2_1",19,0.0383674,0.106985,0.0383674,0.106985,"nobias"
128,0.0025,"FUBAR2_1",20,0.0383978,0.0376002,0.0383978,0.0376002,"nobias"
128,0.0025,"FUBAR2_1",21,0.0551444,0.208779,0.0551444,0.208779,"nobias"
128,0.0025,"FUBAR2_1",22,0.125377,0.139095,0.125377,0.139095,"nobias"
128,0.0025,"FUBAR2_1",23,0.0213978,0.135694,0.0213978,0.135694,"nobias"
128,0.0025,"FUBAR2_1",24,-0.0797242,0.0938634,-0.0797242,0.0938634,"nobias"
128,0.0025,"FUBAR2_1",25,0.0712789,0.227791,0.0712789,0.227791,"nobias"
128,0.0025,"FUBAR2_1",26,0.0462087,0.177193,0.0462087,0.177193,"nobias"
128,0.0025,"FUBAR2_1",27,-0.0150324,0.152141,-0.0150324,0.152141,"nobias"
128,0.0025,"FUBAR2_1",28,0.156149,0.273567,0.156149,0.273567,"nobias"
128,0.0025,"FUBAR2_1",29,-0.00796399,0.179299,-0.00796399,0.179299,"nobias"
128,0.0025,"FUBAR2_1",30,0.156679,0.260275,0.156679,0.260275,"nobias"
128,0.0025,"FUBAR2_1",31,0.0415826,0.141396,0.0415826,0.141396,"nobias"
128,0.0025,"FUBAR2_1",32,-0.029729,0.0985645,-0.029729,0.0985645,"nobias"
128,0.0025,"FUBAR2_1",33,-0.0802081,0.247146,-0.0802081,0.247146,"nobias"
128,0.0025,"FUBAR2_1",34,-0.0067706,0.16722,-0.0067706,0.16722,"nobias"
128,0.0025,"FUBAR2_1",35,-0.0375211,0.167626,-0.0375211,0.167626,"nobias"
128,0.0025,"FUBAR2_1",36,-0.0720979,0.191985,-0.0720979,0.191985,"nobias"
128,0.0025,"FUBAR2_1",37,0.0884649,0.16707,0.0884649,0.16707,"nobias"
128,0.0025,"FUBAR2_1",38,-0.0736875,0.225282,-0.0736875,0.225282,"nobias"
128,0.0025,"FUBAR2_1",39,0.0326949,0.0662098,0.0326949,0.0662098,"nobias"
128,0.0025,"FUBAR2_1",40,-0.0626986,0.288203,-0.0626986,0.288203,"nobias"
128,0.0025,"FUBAR2_1",41,0.117711,0.0290344,0.117711,0.0290344,"nobias"
128,0.0025,"FUBAR2_1",42,0.0349662,0.19313,0.0349662,0.19313,"nobias"
128,0.0025,"FUBAR2_1",43,0.0461898,0.229817,0.0461898,0.229817,"nobias"
128,0.0025,"FUBAR2_1",44,0.00257705,0.0608607,0.00257705,0.0608607,"nobias"
128,0.0025,"FUBAR2_1",45,-0.0641241,0.140508,-0.0641241,0.140508,"nobias"
128,0.0025,"FUBAR2_1",46,0.0292143,0.264434,0.0292143,0.264434,"nobias"
128,0.0025,"FUBAR2_1",47,0.0157708,0.183251,0.0157708,0.183251,"nobias"
128,0.0025,"FUBAR2_1",48,0.00730448,0.382095,0.00730448,0.382095,"nobias"
128,0.0025,"FUBAR2_1",49,0.0569034,0.0444748,0.0569034,0.0444748,"nobias"
128,0.0025,"FUBAR2_1",50,0.280802,0.318166,0.280802,0.318166,"nobias"
128,0.0025,"SLAC1",1,0.0411894,0.291217,0.0411894,0.291217,"nobias"
128,0.0025,"SLAC1",2,-0.017106,0.209946,-0.017106,0.209946,"nobias"
128,0.0025,"SLAC1",3,0.20757,0.226333,0.20757,0.226333,"nobias"
128,0.0025,"SLAC1",4,0.166369,0.119772,0.166369,0.119772,"nobias"
128,0.0025,"SLAC1",5,-0.114289,0.207492,-0.114289,0.207492,"nobias"
128,0.0025,"SLAC1",6,-0.127498,0.320104,-0.127498,0.320104,"nobias"
128,0.0025,"SLAC1",7,0.208903,0.37501,0.208903,0.37501,"nobias"
128,0.0025,"SLAC1",8,0.0308974,0.207267,0.0308974,0.207267,"nobias"
128,0.0025,"SLAC1",9,-0.199743,0.17999,-0.199743,0.17999,"nobias"
128,0.0025,"SLAC1",10,-0.0156327,0.302525,-0.0156327,0.302525,"nobias"
128,0.0025,"SLAC1",11,0.496606,0.286293,0.496606,0.286293,"nobias"
128,0.0025,"SLAC1",12,0.0936139,0.193666,0.0936139,0.193666,"nobias"
128,0.0025,"SLAC1",13,0.213816,0.252044,0.213816,0.252044,"nobias"
128,0.0025,"SLAC1",14,-0.257016,0.105413,-0.257016,0.105413,"nobias"
128,0.0025,"SLAC1",15,0.315664,0.248751,0.315664,0.248751,"nobias"
128,0.0025,"SLAC1",16,0.115089,0.268057,0.115089,0.268057,"nobias"
128,0.0025,"SLAC1",17,-0.146446,0.307614,-0.146446,0.307614,"nobias"
